EAR,MAR,Pitch,Yaw,Label
0.7,0.9317849733498319,21.75,-25.3125,Drowsy
0.7,0.903801367392056,24.0,-24.1875,Drowsy
0.7,0.8974601986053378,32.625,-24.1875,Drowsy
1.0,0.9345138827193205,33.375,-24.750000000000004,Drowsy
0.7,0.8826359487636141,28.125,-23.062499999999996,Drowsy
0.7,0.9261387173507258,25.125,-25.03125,Drowsy
0.7,0.8948302057706834,30.75,-21.9375,Looking Away
0.7,0.8522927195234449,30.375000000000004,-19.125,Looking Away
0.7,0.7121004292948269,28.875000000000004,-13.781250000000002,Looking Away
0.7,0.8928550283826802,30.0,-1.125,Looking Away
0.7,0.8625913189653507,29.25,-0.84375,Looking Away
0.7,0.8442513230602031,29.25,-1.125,Looking Away
1.0,0.7214589059384572,22.5,-2.25,Looking Away
1.0,0.7067553848781735,19.5,-2.25,Looking Away
1.2999999999999998,0.7088536278863667,19.875,-1.6875,Looking Away
0.7,0.7036925499267671,21.375,-2.25,Looking Away
0.7,0.7489429288381336,13.875,-1.6875,Looking Away
0.7,0.7679711058559857,10.5,-0.28125,Looking Away
0.7,0.7829401900267204,10.875,1.40625,Looking Away
0.7,0.7525739377420706,10.875,-0.28125,Looking Away
0.7,0.7491419435184367,12.0,-2.8125,Looking Away
1.0,0.7530316682115487,10.875,-7.3125,Looking Away
1.0,0.7453525631602129,11.25,-11.531249999999998,Looking Away
1.0,0.7469056128192689,12.0,-13.5,Looking Away
0.7,0.6146212362657381,27.374999999999996,3.9374999999999996,Looking Away
1.2999999999999998,0.7005350516359059,27.75,5.34375,Looking Away
0.7,0.6718075809975363,28.125,-8.15625,Looking Away
0.7,0.6771935607606426,27.0,-8.71875,Looking Away
0.7,0.7833107136174061,31.125,3.0937500000000004,Focused
1.0,0.845809897864243,30.75,3.65625,Focused
0.7,0.7544507020021028,27.75,3.0937500000000004,Focused
0.7,0.7416933713055177,27.0,3.0937500000000004,Focused
0.7,0.707309741452057,26.25,1.9687499999999998,Focused
1.0,0.702722413511751,26.25,1.9687499999999998,Focused
0.7,0.6990930628567016,26.625,1.9687499999999998,Focused
1.0,0.6989515009641966,26.625,1.6875,Focused
0.7,0.6900906584178729,27.0,1.40625,Focused
1.0,0.6968003619668148,27.0,0.84375,Focused
1.0,0.6897131273356009,27.374999999999996,0.84375,Focused
0.7,0.6898940337452432,27.0,1.125,Focused
0.7,0.6949638694854327,27.0,0.5625,Focused
0.7,0.6902836482825512,27.0,0.84375,Focused
